GENE	Screen_1	Screen_2	Screen_3	Screen_4
Gene1	9.74e-13	1.13	1.12	3.76e-08
Gene2	1.05	0.796	1.1	1.02e-12
Gene3	1.05	0.992	0.0089	8.52e-08
Gene4	1.02	1.04	2.35e-07	0.0083
Gene5	1.02	0.435	1.12	0.00217
Gene6	0.00308	1.13	1.11	1.08
Gene7	0.0743	1.14	0.00333	3.52e-18
Gene8	1	0.987	1.13	0.00874
Gene9	1.05	0.983	0.671	5.47e-05
Gene10	1.03	1.14	0.99	0.00912
Gene11	1.01	1.16	0.000245	5.4e-05
Gene12	1.65e-25	1.13	1.09	1.04
Gene13	0.00444	2.52e-11	6.78e-06	1.07
Gene14	0.998	1.04	0.88	2.98e-09
Gene15	1.05	1.09	0.763	1.27e-06
Gene16	0.407	1.15	1.2e-28	5.63e-30
Gene17	3.92e-26	0.986	1	0.891
Gene18	1.03	0.991	4.04e-05	0.00324
Gene19	1.04	0.977	0.987	3.68e-12
Gene20	1.04	1.17	0.653	4.19e-08
Gene21	1.05	0.982	1.02	0.000124
Gene22	0.996	0.023	4.43e-10	2.51e-17
Gene23	1.01	0.946	1.13	0.00807
Gene24	1.05	0.287	1.13	0.0046
Gene25	0.996	1.16	0.869	0.000183
Gene26	0.996	1.18	0.394	5.72e-05
Gene27	9.22e-13	1.16	0.997	1.01
Gene28	1.64e-10	1.13	1.06	1.04
Gene29	1.04	0.456	3.18e-09	3.53e-06
Gene30	0.00306	0.142	0.000527	0.0853
Gene31	0.999	1.16	1.08	0.0025
Gene32	5.99e-23	1.08	1.09	1.02
Gene33	NA	1.07	NA	NA
Gene34	0.996	0.98	1.02	0.989
Gene35	1.02	0.985	1.06	1.01
Gene36	0.994	1.04	0.988	0.995
Gene37	0.996	0.978	0.991	1.04
Gene38	0.991	1.1	1.11	0.996
Gene39	1.05	1.18	0.981	0.99
Gene40	1.02	0.991	1.05	0.994
Gene41	1.05	1.01	1.02	1
Gene42	0.377	1.09	1.13	1.05
Gene43	0.992	1.11	1.07	1
Gene44	1	1.02	0.982	1.04
Gene45	1.01	1.1	1.02	1.08
Gene46	0.997	0.989	1.01	1
Gene47	1.04	1.02	1.02	1.02
Gene48	0.994	0.976	1.13	0.996
Gene49	1.02	0.979	0.999	1.02
Gene50	1.01	0.983	1.12	1.02
Gene51	1	1.12	1.11	1.07
Gene52	1	1.13	0.997	0.997
Gene53	1.02	0.986	0.981	1.02
Gene54	0.994	1.12	1.01	1
Gene55	1.05	1.09	1.12	0.991
Gene56	1.05	1.08	1.09	1.04
Gene57	0.53	0.993	1.1	1.08
Gene58	1.04	1.17	1.06	1.04
Gene59	NA	1.17	0.995	1.03
Gene60	0.993	0.998	1	0.992
Gene61	1.05	1.17	0.991	1.01
Gene62	1.01	0.988	0.988	1.03
Gene63	1.02	1.03	1.01	1.07
Gene64	1.02	1.08	1.08	0.991
Gene65	0.992	0.984	0.983	1.05
Gene66	1.04	1.18	1	0.99
Gene67	1.02	1.09	0.998	1.02
Gene68	0.992	1.03	NA	NA
Gene69	1	1.01	1.1	1.06
Gene70	1.01	1.09	1.06	1.07
Gene71	1.03	1.09	1.09	1.05
Gene72	1.01	1.13	0.983	1.02
Gene73	0.998	0.978	1.05	1.01
Gene74	0.994	0.991	1	0.991
Gene75	1.04	1.01	0.985	1.03
Gene76	1.04	1.14	1.07	1.07
Gene77	1.05	0.978	0.986	1.02
Gene78	1.02	1.08	1.05	1.01
Gene79	1.06	1.15	1.08	0.996
Gene80	1.01	1.01	0.999	1.09
Gene81	1.03	0.986	1.02	1.05
Gene82	0.999	1.09	1.04	1.07
Gene83	0.995	1.16	1	1.05
Gene84	1.03	0.982	1.03	1
Gene85	1.05	1.09	1.07	0.995
Gene86	1.05	1	NA	NA
Gene87	1.01	1.18	0.983	1.03
Gene88	0.995	1.03	0.983	1.06
Gene89	NA	1.06	NA	NA
Gene90	1.06	1.06	0.983	1.02
Gene91	1.02	1.01	1.01	1.04
Gene92	0.994	0.982	0.981	0.997
Gene93	1.03	1.06	0.983	1.02
Gene94	0.991	1.06	1.02	1.07
Gene95	1.03	0.978	1.07	0.997
Gene96	1	1.1	0.983	1.06
Gene97	1.01	0.991	1	1.06
Gene98	1.03	0.981	1.02	1.07
Gene99	0.952	1.06	0.994	0.998
Gene100	1.03	1.02	0.982	1
Gene101	1.02	1.02	1.11	1
Gene102	1.05	1.04	1.02	1.05
Gene103	0.991	0.98	1.07	1.05
Gene104	1.02	0.992	1.03	1.02
Gene105	1.05	1.02	1.04	1.03
Gene106	1.05	1.04	1.08	1.09
Gene107	0.992	1.16	1.13	0.846
Gene108	0.999	1.01	1.13	1
Gene109	0.992	1.13	0.981	0.993
Gene110	0.996	1.02	1.13	1.06
Gene111	0.993	0.978	0.982	0.991
Gene112	0.993	1	1.01	0.991
Gene113	0.992	1.08	1.04	1.01
Gene114	1.03	1.06	0.984	0.992
Gene115	1.03	1.04	1.06	1.06
Gene116	0.994	0.989	1.01	1.01
Gene117	0.991	0.981	0.981	0.994
Gene118	1.01	1.02	1.01	1.07
Gene119	0.993	1.08	1.06	1.01
Gene120	1.01	1.06	1.08	1.09
Gene121	0.645	1.07	1.09	1.02
Gene122	1.04	1.13	0.983	1.01
Gene123	0.992	1.13	1.03	1
Gene124	0.994	1.01	1.09	0.994
Gene125	0.998	0.991	1.14	0.994
Gene126	1.04	1.09	0.974	1.02
Gene127	0.992	0.991	0.992	0.999
Gene128	1	0.983	1.04	1.07
Gene129	0.994	1.04	0.988	1.05
Gene130	0.881	0.983	0.998	1.03
Gene131	0.508	1.05	1	1.06
Gene132	1.03	1.03	1.03	1.04
Gene133	0.996	1.16	1.01	1.09
Gene134	1.05	0.991	0.987	0.99
Gene135	0.582	1.06	1.14	1.08
Gene136	1.02	1.14	1.12	1.08
Gene137	1.05	0.981	1.06	0.99
Gene138	1.05	1.13	1.11	0.998
Gene139	0.992	1	1.01	1.02
Gene140	1.05	0.998	1.12	1.01
Gene141	0.996	0.983	1.09	1
Gene142	0.997	0.984	1.14	1.02
Gene143	1.03	1.13	0.983	1.05
Gene144	0.994	0.979	1.05	1.03
Gene145	0.998	1	1.06	1.06
Gene146	1.01	1.12	1.07	1.03
Gene147	0.994	1.17	1.06	0.994
Gene148	0.994	1.17	1.09	0.991
Gene149	1.06	0.98	0.983	0.989
Gene150	1.02	0.996	1.13	1.05
Gene151	1.05	1.02	1.07	1.02
Gene152	1	1.06	1.01	1
Gene153	0.996	0.985	1.1	1.04
Gene154	0.995	1.1	1.12	0.764
Gene155	1.04	1.15	1.08	0.979
Gene156	1.02	1.01	0.981	1.01
Gene157	1.05	1.03	0.999	1.03
Gene158	1.05	1.15	0.988	1.02
Gene159	1.05	1.02	1.04	1.01
Gene160	0.997	0.986	1.13	0.972
Gene161	1.02	1.03	0.981	0.994
Gene162	1.02	1.02	0.996	0.989
Gene163	1.05	0.986	1.12	1.04
Gene164	1.02	1.06	1.12	1.06
Gene165	1.05	0.98	1.09	1.05
Gene166	0.998	1.09	0.998	1.07
Gene167	0.997	0.988	1.1	1.03
Gene168	0.997	0.985	0.999	1.02
Gene169	1.04	1.09	0.981	1
Gene170	0.998	1.13	1.11	1.01
Gene171	NA	0.994	NA	NA
Gene172	1.05	1.11	0.982	1
Gene173	0.992	0.979	1.01	0.989
Gene174	1.04	1.04	1.09	1.03
Gene175	0.995	1.04	1.08	0.99
Gene176	1.01	0.977	1.12	1.05
Gene177	1.05	1.16	1.12	1.07
Gene178	1.03	1.03	0.986	1.06
Gene179	1.02	1.03	1.08	0.991
Gene180	0.977	1.17	0.991	0.992
Gene181	1.05	1.14	1.13	1.06
Gene182	1.01	1.13	1.01	1.04
Gene183	1.05	1.14	1.01	1.06
Gene184	1.02	0.981	1.13	0.996
Gene185	1.05	1.06	1	1.07
Gene186	1.05	1.03	1.06	1.08
Gene187	NA	1.09	1.12	1.09
Gene188	1.01	0.978	0.999	0.994
Gene189	1.05	1.03	1.13	1.09
Gene190	1	1.12	0.998	0.991
Gene191	1.05	1.13	1.04	0.994
Gene192	1.04	1.03	1.05	1.02
Gene193	0.995	1.14	NA	NA
Gene194	0.998	0.978	0.995	1.07
Gene195	0.993	1.14	0.982	1.01
Gene196	1.05	1.06	1.08	1.07
Gene197	1	1.06	1.05	1.08
Gene198	1.02	0.977	1.06	0.99
Gene199	1.03	1.05	NA	NA
Gene200	1.02	0.983	0.996	1
Gene201	1.04	0.985	1.06	1.04
Gene202	0.996	1.13	1.12	0.992
Gene203	NA	1.09	NA	NA
Gene204	1	1.04	0.997	1.01
Gene205	0.996	1.11	0.994	0.995
Gene206	1.02	1.1	1.12	1.01
Gene207	1.02	1.05	0.983	1.05
Gene208	1.02	1.09	0.983	0.99
Gene209	0.991	1.02	1.09	1.09
Gene210	1.05	1.04	0.982	0.991
Gene211	1.05	0.977	1.12	1.04
Gene212	1.06	0.978	0.998	1.03
Gene213	1.04	1.02	1.09	0.97
Gene214	0.992	0.989	1.08	1.02
Gene215	0.995	1.13	1.02	1.01
Gene216	1.04	0.981	1.12	1.06
Gene217	1.04	1.14	1.12	1.07
Gene218	1.01	1.09	1.13	1.08
Gene219	0.993	0.983	1.08	0.99
Gene220	1.03	0.938	1.08	1.01
Gene221	1.03	1.06	1.11	1.01
Gene222	NA	0.997	NA	NA
Gene223	1.03	0.978	1.04	1.03
Gene224	0.912	1.14	1.01	1.05
Gene225	1.05	1.01	1.07	0.992
Gene226	1.03	1.03	0.985	0.994
Gene227	1.06	1.05	1.03	0.991
Gene228	NA	1.05	NA	NA
Gene229	0.992	1.12	1.07	1.05
Gene230	1	0.979	0.998	1
Gene231	0.998	0.979	1.04	1.04
Gene232	1.04	0.00792	1.07	0.999
Gene233	0.997	1.02	0.996	0.996
Gene234	1.01	1.12	0.994	1.02
Gene235	0.996	0.978	0.982	0.996
Gene236	1.02	0.991	1.08	0.989
Gene237	1.03	1.02	1.09	1.05
Gene238	1.01	0.983	1.03	1.07
Gene239	0.973	1.09	1	0.989
Gene240	1.01	0.993	1.09	0.99
Gene241	1.06	1.07	1.1	1.05
Gene242	0.994	0.991	1.04	1.01
Gene243	1.03	0.876	0.983	0.998
Gene244	1.02	1.08	0.993	1.01
Gene245	1.03	1	1.09	1.04
Gene246	1.02	1.1	1.01	1.01
Gene247	1.05	1.13	0.981	1.01
Gene248	0.203	1	1.06	1.07
Gene249	0.993	1.03	0.986	1.02
Gene250	1.03	1.12	1.07	1.08
Gene251	1.03	1.14	0.99	1.09
Gene252	0.983	1.06	1.1	0.997
Gene253	1.05	1.03	1.01	1.07
Gene254	0.999	1.12	1.13	0.992
Gene255	1.05	0.978	1.05	0.991
Gene256	1.04	0.984	0.998	1.02
Gene257	0.995	0.989	1.02	1.01
Gene258	1.03	0.977	1.13	0.814
Gene259	NA	0.997	NA	NA
Gene260	1.03	0.834	1.04	1.02
Gene261	0.996	0.989	1.01	1.06
Gene262	0.994	1.15	1.1	1.04
Gene263	1.03	1.11	0.982	0.991
Gene264	1.04	0.977	1.11	1
Gene265	0.995	1.14	1.03	1.06
Gene266	1.03	1.09	1.11	1.04
Gene267	1.05	1.13	1.13	0.637
Gene268	1.06	1.06	1.08	1.03
Gene269	0.991	1.07	1.13	NA
Gene270	1.03	1.02	0.985	1.05
Gene271	1.05	1.06	1.05	1.06
Gene272	1.04	1.06	1.07	1.01
Gene273	1	0.992	1.04	1.01
Gene274	1.02	0.979	NA	NA
Gene275	NA	0.977	NA	NA
Gene276	0.993	1.09	NA	NA
Gene277	1.04	1.01	1.05	1.08
Gene278	1.02	0.979	1.02	1
Gene279	1	1.18	1.02	1.06
Gene280	1.04	1.14	1.14	1.09
Gene281	0.998	1.09	0.992	0.991
Gene282	1.01	1.01	0.988	1.01
Gene283	0.998	1.05	1.13	1.01
Gene284	1.02	1.02	0.984	0.994
Gene285	0.991	0.997	0.984	0.997
Gene286	0.993	1.14	1.02	0.996
Gene287	1.01	1.05	0.987	0.993
Gene288	1.05	1	0.593	1
Gene289	0.996	0.977	1.05	1.05
Gene290	1.01	1.04	1.09	1.05
Gene291	0.998	0.98	0.983	1.03
Gene292	1.03	1.13	1.01	1.03
Gene293	0.998	1.01	1.04	0.991
Gene294	0.806	1.03	0.983	1.03
Gene295	0.996	0.986	0.983	1.05
Gene296	1.01	1.15	0.983	1.02
Gene297	1.02	0.981	0.982	0.989
Gene298	0.997	1.14	0.975	1.08
Gene299	1.03	1.13	0.991	0.992
Gene300	1.02	1.06	1	1.01
Gene301	1.04	0.989	1	1.01
Gene302	0.995	1	0.999	0.993
Gene303	0.987	0.952	1.05	1.03
Gene304	1.05	0.998	0.941	1.09
Gene305	1.01	0.989	1.07	1.02
Gene306	0.996	1	1.13	1.02
Gene307	0.992	1.12	0.983	1.03
Gene308	1	0.978	1.03	1.06
Gene309	0.994	0.977	0.992	1.06
Gene310	1.05	1.13	0.982	0.998
Gene311	0.994	1.03	1.13	0.992
Gene312	1.04	1.12	1.09	1.01
Gene313	1.03	0.984	1.07	1.06
Gene314	0.994	1.03	0.983	0.991
Gene315	1.04	0.981	1.1	1.02
Gene316	0.996	0.986	0.987	1.01
Gene317	1.05	0.979	1.06	1.01
Gene318	1.01	1.04	1.02	0.991
Gene319	1.03	1.17	0.985	1.06
Gene320	1	1.02	0.983	1.05
Gene321	1.04	0.979	0.982	1.06
Gene322	1.03	0.996	1.07	1.03
Gene323	0.994	1	1.08	1.07
Gene324	0.996	1.04	0.983	1.06
Gene325	0.996	0.979	0.981	1.02
Gene326	0.996	1.04	0.981	1.02
Gene327	0.992	0.984	1.05	0.995
Gene328	0.996	1.13	0.983	1.03
Gene329	0.996	0.978	0.989	0.996
Gene330	1.04	0.995	1.13	1.04
Gene331	1.03	1.07	0.906	0.899
Gene332	1.04	1.04	0.998	1
Gene333	1.03	1.16	0.996	1.01
Gene334	0.992	0.981	0.983	0.999
Gene335	1.01	1.11	1.08	1.09
Gene336	0.992	1.02	0.982	0.991
Gene337	0.995	1.05	1.02	1
Gene338	1.04	0.983	1.09	1.08
Gene339	1.05	1.09	1.03	1.09
Gene340	0.994	0.982	0.982	0.997
Gene341	1.05	1.03	0.998	1.04
Gene342	1.05	1.11	0.982	0.99
Gene343	0.994	1.01	1.12	1
Gene344	0.992	1.09	1.02	1.03
Gene345	0.802	0.977	1.06	0.993
Gene346	0.993	0.977	1.03	1.08
Gene347	1.05	0.985	1.07	1.02
Gene348	1.05	1.05	NA	NA
Gene349	1.05	0.99	1.12	1.02
Gene350	0.995	0.982	1.01	0.991
