Gene	LFC	MAGeCK Score (log10)	Group
1	-1.3382	7.2376e-11	Sensitizer
1	-1.3382	7.2376e-11	Glycosylase
10	-0.96193	2.4142e-08	Sensitizer
11	-1.3839	2.5596e-08	Sensitizer
12430	0.10949	0.081137	Glycosylase
13	0.34155	0.0029881	Glycosylase
14562	0.28237	0.0075576	Glycosylase
14909	0.13194	0.23275	Glycosylase
15505	0.38608	0.00060044	Glycosylase
17469	-0.44695	0.0012897	Glycosylase
17648	0.064659	0.74752	Glycosylase
17835	0.27741	0.026366	Glycosylase
18045	1.985	5.4571e-09	Resistance
18046	1.5541	4.614e-09	Resistance
18047	1.91	2.3608e-09	Resistance
18048	1.8142	9.6406e-10	Resistance
18052	2.2053	2.3603e-10	Resistance
18055	1.8718	1.1432e-10	Resistance
191	-1.0157	7.2975e-08	Glycosylase
3	-1.0794	9.9372e-10	Sensitizer
4	-1.4657	4.6572e-09	Sensitizer
5	-0.93218	6.5741e-09	Sensitizer
555	0.19353	0.034091	Glycosylase
6	-1.0867	1.69e-08	Sensitizer
7	-1.2392	1.8663e-08	Sensitizer
8	-1.2206	2.0735e-08	Sensitizer
9	-1.705	2.3279e-08	Sensitizer
